year mo        account           total    cur
2017  1 Expenses:Home             2946.96 USD
2017  1 Expenses:Kids              530.86 USD
2017  1 Expenses:Shopping          859.75 USD
2017  1 Expenses:Travel             -3.88 USD
2017  1 Income:MoneyOwed            -6.97 USD
2017  1 Income:US                -3005.34 USD
2017  2 Expenses:Gift               84.40 GBP
2017  2 Expenses:Home              191.48 GBP
2017  2 Expenses:Kids              135.33 GBP
2017  2 Expenses:NBC               412.34 GBP
2017  2 Expenses:Shopping          -11.42 GBP
2017  2 Income:UK                -7294.25 GBP
2017  2 Liabilities:UK             756.30 GBP
2017  2 Expenses:Car               259.99 USD
2017  2 Expenses:Entertainment      14.99 USD
2017  2 Expenses:Fees               14.35 USD
2017  2 Expenses:Food              569.30 USD
2017  2 Expenses:Gift              157.74 USD
2017  2 Expenses:Home             2928.69 USD
2017  2 Expenses:Kids              534.00 USD
2017  2 Expenses:Shopping           28.60 USD
2017  2 Income:US                -2991.50 USD
2017  3 Expenses:Fees               30.38 GBP
2017  3 Expenses:Food               30.00 GBP
2017  3 Expenses:Gift               72.00 GBP
2017  3 Expenses:Home              172.63 GBP
2017  3 Expenses:Kids              100.00 GBP
2017  3 Expenses:NBC                37.01 GBP
2017  3 Expenses:Shopping          127.56 GBP
2017  3 Income:UK               -10396.43 GBP
2017  3 Liabilities:UK             756.30 GBP
2017  3 Expenses:Car               363.12 USD
2017  3 Expenses:Entertainment      59.97 USD
2017  3 Expenses:Fees               -1.05 USD
2017  3 Expenses:Food              673.71 USD
2017  3 Expenses:Gift              292.02 USD
2017  3 Expenses:Health             31.11 USD
2017  3 Expenses:Home             2825.87 USD
2017  3 Expenses:Kids              574.09 USD
2017  3 Expenses:Pets               75.50 USD
2017  3 Expenses:Shopping         1412.44 USD
2017  3 Expenses:Travel             94.00 USD
2017  3 Income:US                -2992.13 USD
2017  4 Expenses:Car               137.30 GBP
2017  4 Expenses:Gift               41.53 GBP
2017  4 Expenses:Home              188.75 GBP
2017  4 Expenses:Kids              685.69 GBP
2017  4 Expenses:NBC               478.01 GBP
2017  4 Income:Gift               -200.00 GBP
2017  4 Income:UK                -7194.36 GBP
2017  4 Liabilities:UK             756.30 GBP
2017  4 Expenses:Car               161.30 USD
2017  4 Expenses:Entertainment      39.00 USD
2017  4 Expenses:Fees                1.05 USD
2017  4 Expenses:Food             1051.58 USD
2017  4 Expenses:Gift               10.53 USD
2017  4 Expenses:Health             18.00 USD
2017  4 Expenses:Home             2918.04 USD
2017  4 Expenses:Kids              150.00 USD
2017  4 Expenses:Shopping          189.62 USD
2017  4 Income:US                -3125.13 USD
2017  5 Expenses:Home              172.03 GBP
2017  5 Expenses:Kids              303.00 GBP
2017  5 Expenses:NBC                96.00 GBP
2017  5 Liabilities:UK             584.27 GBP
2017  5 Expenses:Fees               -4.58 USD
2017  5 Expenses:Home             2400.00 USD
2017  5 Expenses:Kids             -587.00 USD
